wavelength,,Diatoms (pennate),Chlorophytes,Diatoms (centric),Cryptophytes,Cyanobacteria (blue),Cyanobacteria (red),Dinoflagellates,Eustigmatophytes,Haptophytes: Pavlovaceae,Pelagophytes,Prasinophytes,Prochlorococcus,Haptophytes: Prymnesiaceae,Raphidophytes,Rhodophytes,Synechococcus spp,Microcystis-like (vacuolate)
697,,0.002656,0.004706,0.002163,0.003770,0.005845,0.009760,0.001624,0.009833,0.002698,0.000769,0.000424,0.004193,0.002072,0.001487,0.006286,0.005687,0.017432
698,,0.002323,0.004118,0.001764,0.003320,0.005200,0.008948,0.001290,0.008172,0.002344,0.000321,0.000243,0.003799,0.001729,0.001282,0.005664,0.005027,0.016087
699,,0.002053,0.003608,0.001433,0.002933,0.004634,0.008246,0.001030,0.006790,0.002052,0.000180,0.000119,0.003486,0.001456,0.001107,0.005094,0.004446,0.014921
700,,0.001841,0.003170,0.001185,0.002603,0.004139,0.007642,0.000837,0.005663,0.001818,0.000166,0.000105,0.003245,0.001245,0.000960,0.004573,0.003938,0.013858
701,,0.001680,0.002798,0.000984,0.002326,0.003711,0.007126,0.000705,0.004764,0.001633,0.000151,0.000090,0.003068,0.001090,0.000838,0.004099,0.003497,0.012893
702,,0.001562,0.002484,0.000826,0.002095,0.003342,0.006686,0.000621,0.004066,0.001494,0.000137,0.000075,0.002946,0.000991,0.000739,0.003668,0.003117,0.012003
703,,0.001483,0.002223,0.000704,0.001904,0.003027,0.006311,0.000578,0.003544,0.001393,0.000122,0.000060,0.002871,0.000925,0.000660,0.003278,0.002792,0.011217
704,,0.001435,0.002009,0.000614,0.001750,0.002759,0.005991,0.000572,0.003172,0.001324,0.000108,0.000120,0.002834,0.000888,0.000598,0.002927,0.002517,0.010575
705,,0.001412,0.001833,0.000550,0.001626,0.002532,0.005715,0.000593,0.002922,0.001282,0.000094,0.000306,0.002826,0.000883,0.000550,0.002613,0.002284,0.009880
706,,0.001406,0.001691,0.000507,0.001527,0.002341,0.005471,0.000633,0.002770,0.001260,0.000291,0.000506,0.002839,0.000898,0.000514,0.002333,0.002089,0.009266
707,,0.001413,0.001575,0.000496,0.001448,0.002179,0.005248,0.000685,0.002688,0.001253,0.000500,0.000707,0.002864,0.000926,0.000486,0.002083,0.001926,0.008820
708,,0.001425,0.001480,0.000496,0.001383,0.002040,0.005035,0.000741,0.002651,0.001254,0.000704,0.000898,0.002894,0.000959,0.000464,0.001863,0.001788,0.008347
709,,0.001436,0.001398,0.000501,0.001326,0.001917,0.004822,0.000792,0.002631,0.001258,0.000888,0.001064,0.002918,0.000989,0.000445,0.001669,0.001670,0.007820
710,,0.001439,0.001323,0.000504,0.001274,0.001805,0.004597,0.000831,0.002604,0.001257,0.001037,0.001194,0.002930,0.001011,0.000427,0.001499,0.001566,0.007322
711,,0.001429,0.001250,0.000499,0.001220,0.001699,0.004352,0.000852,0.002548,0.001248,0.001138,0.001277,0.002922,0.001018,0.000407,0.001350,0.001470,0.006940
712,,0.001406,0.001178,0.000488,0.001164,0.001597,0.004087,0.000854,0.002462,0.001230,0.001194,0.001317,0.002894,0.001010,0.000384,0.001221,0.001382,0.006642
713,,0.001372,0.001107,0.000470,0.001108,0.001500,0.003807,0.000841,0.002349,0.001205,0.001209,0.001316,0.002849,0.000989,0.000360,0.001111,0.001301,0.006276
714,,0.001328,0.001038,0.000447,0.001050,0.001407,0.003515,0.000813,0.002214,0.001173,0.001188,0.001282,0.002789,0.000957,0.000334,0.001017,0.001227,0.005897
715,,0.001277,0.000970,0.000420,0.000993,0.001318,0.003216,0.000774,0.002060,0.001136,0.001136,0.001217,0.002717,0.000915,0.000308,0.000939,0.001160,0.005519
716,,0.001218,0.000903,0.000388,0.000935,0.001235,0.002911,0.000724,0.001892,0.001094,0.001058,0.001129,0.002635,0.000866,0.000281,0.000874,0.001098,0.005144
717,,0.001155,0.000839,0.000354,0.000878,0.001155,0.002606,0.000667,0.001713,0.001049,0.000960,0.001020,0.002544,0.000811,0.000253,0.000822,0.001042,0.004859
718,,0.001088,0.000777,0.000319,0.000823,0.001081,0.002304,0.000604,0.001527,0.001001,0.000845,0.000897,0.002448,0.000751,0.000226,0.000781,0.000991,0.004523
719,,0.001019,0.000717,0.000282,0.000768,0.001011,0.002009,0.000537,0.001339,0.000953,0.000719,0.000764,0.002348,0.000688,0.000200,0.000749,0.000944,0.004156
720,,0.000950,0.000660,0.000246,0.000716,0.000946,0.001723,0.000468,0.001152,0.000904,0.000588,0.000627,0.002248,0.000624,0.000174,0.000725,0.000902,0.003776
721,,0.000882,0.000606,0.000211,0.000665,0.000886,0.001452,0.000399,0.000970,0.000857,0.000455,0.000489,0.002149,0.000561,0.000150,0.000707,0.000864,0.003442
722,,0.000816,0.000556,0.000178,0.000618,0.000831,0.001198,0.000333,0.000796,0.000811,0.000326,0.000357,0.002053,0.000501,0.000127,0.000694,0.000829,0.003268
723,,0.000754,0.000508,0.000147,0.000573,0.000780,0.000966,0.000271,0.000636,0.000769,0.000206,0.000235,0.001963,0.000445,0.000107,0.000685,0.000798,0.003077
724,,0.000699,0.000464,0.000120,0.000532,0.000737,0.000758,0.000215,0.000492,0.000731,0.000099,0.000128,0.001881,0.000394,0.000089,0.000677,0.000769,0.002841
725,,0.000650,0.000424,0.000098,0.000495,0.000698,0.000579,0.000167,0.000370,0.000699,0.000012,0.000082,0.001809,0.000351,0.000073,0.000670,0.000742,0.002603
726,,0.000610,0.000388,0.000087,0.000463,0.000662,0.000432,0.000129,0.000270,0.000673,0.000011,0.000048,0.001750,0.000317,0.000061,0.000662,0.000718,0.002387
